Title,Abstract,Authors,Last Author,Published Date
"Hyperspectral Unmixing of Agricultural Images taken from UAV Using
  Adapted U-Net Architecture","  The hyperspectral unmixing method is an algorithm that extracts material
(usually called endmember) data from hyperspectral data cube pixels along with
their abundances. Due to a lower spatial resolution of hyperspectral sensors
data in each of the pixels may contain mixed information from multiple
endmembers. In this paper we create a hyperspectral unmixing dataset, created
from blueberry field data gathered by a hyperspectral camera mounted on a UAV.
We also propose a hyperspectral unmixing algorithm based on U-Net network
architecture to achieve more accurate unmixing results on existing and newly
created hyperspectral unmixing datasets.
","Vytautas Paura, Virginijus Marcinkevičius",Virginijus Marcinkevičius,2024-09-29T13:24:48Z
"HyperKon: A Self-Supervised Contrastive Network for Hyperspectral Image
  Analysis","  The exceptional spectral resolution of hyperspectral imagery enables material
insights that are not possible with RGB or multispectral images. Yet, the full
potential of this data is often underutilized by deep learning techniques due
to the scarcity of hyperspectral-native CNN backbones. To bridge this gap, we
introduce HyperKon, a self-supervised contrastive learning network designed and
trained on hyperspectral data from the EnMAP Hyperspectral
Satellite\cite{kaufmann2012environmental}. HyperKon uniquely leverages the high
spectral continuity, range, and resolution of hyperspectral data through a
spectral attention mechanism and specialized convolutional layers. We also
perform a thorough ablation study on different kinds of layers, showing their
performance in understanding hyperspectral layers. It achieves an outstanding
98% Top-1 retrieval accuracy and outperforms traditional RGB-trained backbones
in hyperspectral pan-sharpening tasks. Additionally, in hyperspectral image
classification, HyperKon surpasses state-of-the-art methods, indicating a
paradigm shift in hyperspectral image analysis and underscoring the importance
of hyperspectral-native backbones.
","Daniel L Ayuba, Belen Marti-Cardona, Jean-Yves Guillemaut, Oscar Mendez Maldonado",Oscar Mendez Maldonado,2023-11-26T23:50:05Z
"Hyperspectral Imaging and Analysis for Sparse Reconstruction and
  Recognition","  This thesis proposes spatio-spectral techniques for hyperspectral image
analysis. Adaptive spatio-spectral support and variable exposure hyperspectral
imaging is demonstrated to improve spectral reflectance recovery from
hyperspectral images. Novel spectral dimensionality reduction techniques have
been proposed from the perspective of spectral only and spatio-spectral
information preservation. It was found that the joint sparse and joint group
sparse hyperspectral image models achieve lower reconstruction error and higher
recognition accuracy using only a small subset of bands. Hyperspectral image
databases have been developed and made publicly available for further research
in compressed hyperspectral imaging, forensic document analysis and spectral
reflectance recovery.
",Zohaib Khan,Zohaib Khan,2014-07-29T10:29:28Z
"Image-level Classification in Hyperspectral Images using Feature
  Descriptors, with Application to Face Recognition","  In this paper, we proposed a novel pipeline for image-level classification in
the hyperspectral images. By doing this, we show that the discriminative
spectral information at image-level features lead to significantly improved
performance in a face recognition task. We also explored the potential of
traditional feature descriptors in the hyperspectral images. From our
evaluations, we observe that SIFT features outperform the state-of-the-art
hyperspectral face recognition methods, and also the other descriptors. With
the increasing deployment of hyperspectral sensors in a multitude of
applications, we believe that our approach can effectively exploit the spectral
information in hyperspectral images, thus beneficial to more accurate
classification.
","Vivek Sharma, Luc Van Gool",Luc Van Gool,2016-05-11T13:18:22Z
"Multispectral and Hyperspectral Image Fusion Using a 3-D-Convolutional
  Neural Network","  In this paper, we propose a method using a three dimensional convolutional
neural network (3-D-CNN) to fuse together multispectral (MS) and hyperspectral
(HS) images to obtain a high resolution hyperspectral image. Dimensionality
reduction of the hyperspectral image is performed prior to fusion in order to
significantly reduce the computational time and make the method more robust to
noise. Experiments are performed on a data set simulated using a real
hyperspectral image. The results obtained show that the proposed approach is
very promising when compared to conventional methods. This is especially true
when the hyperspectral image is corrupted by additive noise.
","Frosti Palsson, Johannes R. Sveinsson, Magnus O. Ulfarsson",Magnus O. Ulfarsson,2017-06-16T12:38:44Z
"High-Resolution Hyperspectral Video Imaging Using A Hexagonal Camera
  Array","  Retrieving the reflectance spectrum from objects is an essential task for
many classification and detection problems, since many materials and processes
have a unique spectral behaviour. In many cases, it is highly desirable to
capture hyperspectral images due to the high spectral flexibility. Often, it is
even necessary to capture hyperspectral videos or at least to be able to record
a hyperspectral image at once, also called snapshot hyperspectral imaging, to
avoid spectral smearing. For this task, a high-resolution snapshot
hyperspectral camera array using a hexagonal shape is introduced.The hexagonal
array for hyperspectral imaging uses off-the-shelf hardware, which enables high
flexibility regarding employed cameras, lenses and filters. Hence, the spectral
range can be easily varied by mounting a different set of filters. Moreover,
the concept of using off-the-shelf hardware enables low prices in comparison to
other approaches with highly specialized hardware. Since classical industrial
cameras are used in this hyperspectral camera array, the spatial and temporal
resolution is very high, while recording 37 hyperspectral channels in the range
from 400 nm to 760 nm in 10 nm steps. A registration process is required for
near-field imaging, which maps the peripheral camera views to the center view.
It is shown that this combination using a hyperspectral camera array and the
corresponding image registration pipeline is superior in comparison to other
popular snapshot approaches. For this evaluation, a synthetic hyperspectral
database is rendered. On the synthetic data, the novel approach outperforms its
best competitor by more than 3 dB in reconstruction quality. This synthetic
data is also used to show the superiority of the hexagonal shape in comparison
to an orthogonal-spaced one. Moreover, a real-world high resolution
hyperspectral video database is provided.
","Frank Sippel, Jürgen Seiler, André Kaup",André Kaup,2024-07-12T07:00:28Z
"Deep Hyperspectral-Depth Reconstruction Using Single Color-Dot
  Projection","  Depth reconstruction and hyperspectral reflectance reconstruction are two
active research topics in computer vision and image processing. Conventionally,
these two topics have been studied separately using independent imaging setups
and there is no existing method which can acquire depth and spectral
reflectance simultaneously in one shot without using special hardware. In this
paper, we propose a novel single-shot hyperspectral-depth reconstruction method
using an off-the-shelf RGB camera and projector. Our method is based on a
single color-dot projection, which simultaneously acts as structured light for
depth reconstruction and spatially-varying color illuminations for
hyperspectral reflectance reconstruction. To jointly reconstruct the depth and
the hyperspectral reflectance from a single color-dot image, we propose a novel
end-to-end network architecture that effectively incorporates a geometric
color-dot pattern loss and a photometric hyperspectral reflectance loss.
Through the experiments, we demonstrate that our hyperspectral-depth
reconstruction method outperforms the combination of an existing
state-of-the-art single-shot hyperspectral reflectance reconstruction method
and depth reconstruction method.
","Chunyu Li, Yusuke Monno, Masatoshi Okutomi",Masatoshi Okutomi,2022-04-08T08:46:27Z
"End-to-end joint optimization of metasurface and image processing for
  compact snapshot hyperspectral imaging","  Traditional snapshot hyperspectral imaging systems generally require multiple
refractive-optics-based elements to modulate light, resulting in bulky
framework. In pursuit of a more compact form factor, a metasurface-based
snapshot hyperspectral imaging system, which achieves joint optimization of
metasurface and image processing, is proposed in this paper. The unprecedented
light manipulation capabilities of metasurfaces are used in conjunction with
neural networks to encode and decode light fields for better hyperspectral
imaging. Specifically, the extremely strong dispersion of metasurfaces is
exploited to distinguish spectral information, and a neural network based on
spectral priors is applied for hyperspectral image reconstruction. By
constructing a fully differentiable model of metasurface-based hyperspectral
imaging, the front-end metasurface phase distribution and the back-end recovery
network parameters can be jointly optimized. This method achieves high-quality
hyperspectral reconstruction results numerically, outperforming separation
optimization methods. The proposed system holds great potential for
miniaturization and portability of hyperspectral imaging systems.
","Qiangbo Zhang, Zeqing Yu, Xinyu Liu, Chang Wang, Zhenrong Zheng",Zhenrong Zheng,2022-10-14T10:21:27Z
"Synthetic Hyperspectral Array Video Database with Applications to
  Cross-Spectral Reconstruction and Hyperspectral Video Coding","  In this paper, a synthetic hyperspectral video database is introduced. Since
it is impossible to record ground truth hyperspectral videos, this database
offers the possibility to leverage the evaluation of algorithms in diverse
applications. For all scenes, depth maps are provided as well to yield the
position of a pixel in all spatial dimensions as well as the reflectance in
spectral dimension. Two novel algorithms for two different applications are
proposed to prove the diversity of applications that can be addressed by this
novel database. First, a cross-spectral image reconstruction algorithm is
extended to exploit the temporal correlation between two consecutive frames.
The evaluation using this hyperspectral database shows an increase in PSNR of
up to 5.6 dB dependent on the scene. Second, a hyperspectral video coder is
introduced which extends an existing hyperspectral image coder by exploiting
temporal correlation. The evaluation shows rate savings of up to 10% depending
on the scene. The novel hyperspectral video database and source code is
available at https:// github.com/ FAU-LMS/ HyViD for use by the research
community.
","Frank Sippel, Jürgen Seiler, André Kaup",André Kaup,2023-01-18T14:11:59Z
HHTrack: Hyperspectral Object Tracking Using Hybrid Attention,"  Hyperspectral imagery provides abundant spectral information beyond the
visible RGB bands, offering rich discriminative details about objects in a
scene. Leveraging such data has the potential to enhance visual tracking
performance. In this paper, we propose a hyperspectral object tracker based on
hybrid attention (HHTrack). The core of HHTrack is a hyperspectral hybrid
attention (HHA) module that unifies feature extraction and fusion within one
component through token interactions. A hyperspectral bands fusion (HBF) module
is also introduced to selectively aggregate spatial and spectral signatures
from the full hyperspectral input. Extensive experiments demonstrate the
state-of-the-art performance of HHTrack on benchmark Near Infrared (NIR), Red
Near Infrared (Red-NIR), and Visible (VIS) hyperspectral tracking datasets. Our
work provides new insights into harnessing the strengths of transformers and
hyperspectral fusion to advance robust object tracking.
",Yuedong Tan,Yuedong Tan,2023-08-14T09:04:06Z
